QuestionID,ExamYear,BodySystem,Subcategory,ArchetypeName,Cluster,UMAP_X,UMAP_Y
Q2023-774,2023,Psychogenic,Management,Pharmacology & Drug Selection,6,6.6884155,2.2088964
Q2023-775,2023,Reproductive: Female,Counseling,General Adult Medicine -- Undifferentiated,8,8.222103,-1.3322314
Q2023-776,2023,Nonspecific,Treatment,General Adult Medicine -- Undifferentiated,8,6.4804697,-3.0403204
Q2023-777,2023,Musculoskeletal,Treatment,Acute / Emergent Presentation,5,3.617131,-0.17289251
Q2023-778,2023,Patient-Based Systems,Interpretation,Pharmacology & Drug Selection,6,5.9646673,-1.5238459
Q2023-779,2023,Gastrointestinal,Counseling,Screening & Prevention Guidelines,7,3.98039,2.2461042
Q2023-780,2023,Respiratory,Diagnosis,Acute / Emergent Presentation,10,7.4914393,-3.7055004
Q2023-781,2023,Cardiovascular,Screening,General Adult Medicine -- Undifferentiated,4,4.706247,-3.7034745
Q2023-782,2023,Endocrine,Management,Screening & Prevention Guidelines,9,8.461041,-2.6929593
Q2023-783,2023,Psychogenic,Prognosis/Risk,Pharmacology & Drug Selection,6,5.572144,0.4790555
Q2023-784,2023,Neurologic,Pharmacology,Acute / Emergent Presentation,5,3.9392073,-0.5039197
Q2023-785,2023,Nephrologic,Diagnosis,Chronic Disease Management,2,4.6203933,0.11630624
Q2023-786,2023,Integumentary,Treatment,Screening & Prevention Guidelines,7,3.9725356,1.3171096
Q2023-787,2023,Musculoskeletal,Diagnosis,Acute / Emergent Presentation,5,2.3359778,1.3704034
Q2023-788,2023,Respiratory,Pharmacology,Chronic Disease Management,0,9.342913,-1.8048444
Q2023-789,2023,Cardiovascular,Pharmacology,Pharmacology & Drug Selection,6,9.426231,-3.17564
Q2023-790,2023,Special Sensory,Management,Pharmacology & Drug Selection,6,7.2850113,1.4644425
Q2023-791,2023,Hematologic/ Immune,Pathophysiology,Pharmacology & Drug Selection,6,8.396679,-2.6938453
Q2023-792,2023,Reproductive: Female,Management,General Adult Medicine -- Undifferentiated,8,8.106443,1.6819414
Q2023-793,2023,Gastrointestinal,Prognosis/Risk,General Adult Medicine -- Undifferentiated,8,6.7540007,-1.3020467
Q2023-794,2023,Nonspecific,Diagnosis,Pharmacology & Drug Selection,6,5.602668,-2.5139625
Q2023-795,2023,Endocrine,Management,Pharmacology & Drug Selection,6,5.847048,-2.0461943
Q2023-796,2023,Psychogenic,Treatment,Pharmacology & Drug Selection,6,5.4829245,-0.04001178
Q2023-797,2023,Musculoskeletal,Treatment,Acute / Emergent Presentation,5,2.220147,-0.50950366
Q2023-798,2023,Patient-Based Systems,Workup,Chronic Disease Management,0,7.8715043,0.016312908
Q2023-799,2023,Cardiovascular,Management,Chronic Disease Management,0,9.150375,-1.5231217
Q2023-800,2023,Respiratory,Management,Chronic Disease Management,0,8.353275,-0.003670812
Q2024-801,2024,Endocrine,Management,Pharmacology & Drug Selection,6,6.507861,-1.8214175
Q2024-802,2024,Cardiovascular,Pharmacology,Chronic Disease Management,2,4.8475943,-3.712881
Q2024-803,2024,Integumentary,Pharmacology,Pharmacology & Drug Selection,6,9.26943,-1.8062015
Q2024-804,2024,Reproductive: Female,Pharmacology,Acute / Emergent Presentation,10,8.266198,-1.8410904
Q2024-805,2024,Cardiovascular,Management,Pharmacology & Drug Selection,11,5.9830484,-3.612149
Q2024-806,2024,Gastrointestinal,Pharmacology,Chronic Disease Management,2,6.7332435,-1.3164595
Q2024-807,2024,Population-Based Care,Screening,Screening & Prevention Guidelines,9,10.626785,-0.6448214
Q2024-808,2024,Special Sensory,Treatment,Pharmacology & Drug Selection,6,6.0547857,-1.3533096
Q2024-809,2024,Injuries/Musculoskeletal,Screening,Pharmacology & Drug Selection,6,5.8282075,-2.980486
Q2024-810,2024,Integumentary,Pharmacology,Pharmacology & Drug Selection,1,6.285602,-2.334391
Q2024-811,2024,Cardiovascular,Pharmacology,Pharmacology & Drug Selection,6,7.487203,-0.5806765
Q2024-812,2024,Psychogenic,Pharmacology,Pharmacology & Drug Selection,6,6.3206325,0.12529798
