article_id,author1,year,title,source_type,db_tier,reco_folder,reco_filename,reco_folder,reco_filename
ART-0534,Grundy,2018,2018 AHA/ACC/AACVPR/AAPA/ABC/ACPM/ADA/AGS/APhA/ ASPC/NLA/PCNA guideline on the m,Circulation,right_click,RECO_right_click,Grundy_Stone_2018#@#ART-0534@#@.pdf,RECO_right_click,Grundy_Stone_2018#@#ART-0534@#@.pdf
ART-0539,Gulati,2021,a report of the American College of Cardiology/American Heart Association Joint ,Chest,local_lite,RECO_local_lite,Gulati_Levy_2021#@#ART-0539@#@.pdf,RECO_local_lite,Gulati_Levy_2021#@#ART-0539@#@.pdf
ART-0549,Hagan,2017,"Bright Futures: Guidelines for Health Supervision of Infants, Children and Adole",Pediatrics,right_click,RECO_right_click,Hagan_Shaw_2017#@#ART-0549@#@.pdf,RECO_right_click,Hagan_Shaw_2017#@#ART-0549@#@.pdf
ART-0558,Hampl,2023,e2022060640,Pediatrics,right_click,RECO_right_click,Hampl_Hassink_2023#@#ART-0558@#@.pdf,RECO_right_click,Hampl_Hassink_2023#@#ART-0558@#@.pdf
ART-0564,Hartman,2019,Gastroenteritis in children,AFP,local_lite,RECO_local_lite,Hartman_Brown_2019#@#ART-0564@#@.pdf,RECO_local_lite,Hartman_Brown_2019#@#ART-0564@#@.pdf
ART-0568,Hauk,2018,updated guideline from the ACP,AFP,right_click,RECO_right_click,Hauk_2018#@#ART-0568@#@.pdf,RECO_right_click,Hauk_2018#@#ART-0568@#@.pdf
ART-0571,Hauk,2018,Treatment of seasonal allergic rhinitis: A guideline from the AAAAI/ACAAI Joint ,AFP,local_lite,RECO_local_lite,Hauk_2018#@#ART-0571@#@.pdf,RECO_local_lite,Hauk_2018#@#ART-0571@#@.pdf
ART-0572,Hauk,2018,"Tuberculosis: Guidelines for diagnosis from the ATS, IDSA, and CDC",AFP,local_lite,RECO_local_lite,Hauk_2018#@#ART-0572@#@.pdf,RECO_local_lite,Hauk_2018#@#ART-0572@#@.pdf
ART-0578,Heidelbaugh,2018,The adult well-male examination,AFP,local_lite,RECO_local_lite,Heidelbaugh_2018#@#ART-0578@#@.pdf,RECO_local_lite,Heidelbaugh_2018#@#ART-0578@#@.pdf
ART-0579,Heidenreich,2022,a report of the American College of Cardiology/American Heart Association joint ,Circulation,right_click,RECO_right_click,Heidenreich_Bozkurt_2022#@#ART-0579@#@.pdf,RECO_right_click,Heidenreich_Bozkurt_2022#@#ART-0579@#@.pdf
ART-0581,Heimbach,2018,358-380,Other Journal,local_lite,RECO_local_lite,Heimbach_Kulik_2018#@#ART-0581@#@.pdf,RECO_local_lite,Heimbach_Kulik_2018#@#ART-0581@#@.pdf
ART-0586,Hennion,2013,Diagnosis and treatment of peripheral arterial disease,AFP,local_lite,RECO_local_lite,Hennion_Siano_2013#@#ART-0586@#@.pdf,RECO_local_lite,Hennion_Siano_2013#@#ART-0586@#@.pdf
ART-0589,Herrick,2020,Coccidioidomycosis (valley fever) in primary care,AFP,local_lite,RECO_local_lite,Herrick_Trondle_2020#@#ART-0589@#@.pdf,RECO_local_lite,Herrick_Trondle_2020#@#ART-0589@#@.pdf
